universal_field,synonyms

"client_code,""TIERS|CLIENT|CUSTOMER|CUSTOMER_ID|PARTNER_ID|KUNNR"""

"invoice_number,""PINO|INV_NUM|VBELN|NAME|FACTURE"""

"invoice_date,""PIDT|DATE_DOC|FKDAT|INVOICE_DATE"""

"due_date,""ECHDT|DUE_DATE|PAYMENT_DATE"""

"currency,""DEV|WAERK|CURRENCY|CURRENCY_ID"""

"total_ttc,""TTCMT|TOTAL_AMOUNT|AMOUNT_TOTAL|MWSBK"""

"total_ht,""HTPDTMT|NET_AMOUNT|AMOUNT_UNTAXED"""

"quantity,""REFQTE|QTY|QUANTITY"""

"unit_price,""PUB|PRICE|PRICE_UNIT"""

"designation,""DES|DESCRIPTION|PRODUCT_NAME"""
